mac;name
C1:48:66:00:00:00 ;Group address (multicast MAC address)
EA:40:DD:00:00:00 ;Locally administered MAC address
26:39:21:00:00:00 ;Locally administered MAC address
55:1F:4A:00:00:00 ;Group address (multicast MAC address)
C9:EB:70:00:00:00 ;Group address (multicast MAC address)
6B:72:11:00:00:00 ;Group address (multicast MAC address)
0C:D0:89:00:00:00 ;
4B:F6:25:00:00:00 ;Group address (multicast MAC address)
47:62:B7:00:00:00 ;Group address (multicast MAC address)
CD:45:26:00:00:00 ;Group address (multicast MAC address)
7D:06:C7:00:00:00 ;Group address (multicast MAC address)
DC:1C:29:00:00:00 ;
6B:AD:79:00:00:00 ;Group address (multicast MAC address)
7A:01:AB:00:00:00 ;Locally administered MAC address
CB:28:45:00:00:00 ;Group address (multicast MAC address)
DC:B5:7C:00:00:00 ;
E0:86:50:00:00:00 ;
36:B3:99:00:00:00 ;Locally administered MAC address
7C:4A:5C:00:00:00 ;
55:AA:30:00:00:00 ;Group address (multicast MAC address)
7C:47:74:00:00:00 ;
06:3D:7A:00:00:00 ;Locally administered MAC address
EB:E6:D8:00:00:00 ;Group address (multicast MAC address)
6C:F2:2F:00:00:00 ;
5B:54:89:00:00:00 ;Group address (multicast MAC address)
26:C0:5F:00:00:00 ;Locally administered MAC address
E6:15:8A:00:00:00 ;Locally administered MAC address
5F:78:07:00:00:00 ;Group address (multicast MAC address)
6D:1B:D1:00:00:00 ;Group address (multicast MAC address)
4E:C0:FF:00:00:00 ;Locally administered MAC address
67:80:57:00:00:00 ;Group address (multicast MAC address)
7A:C6:63:00:00:00 ;Locally administered MAC address
7C:91:CE:00:00:00 ;
43:D7:0A:00:00:00 ;Group address (multicast MAC address)
DC:53:C7:00:00:00 ;
5B:58:98:00:00:00 ;Group address (multicast MAC address)
73:70:4B:00:00:00 ;Group address (multicast MAC address)
ED:C2:77:00:00:00 ;Group address (multicast MAC address)
C6:DE:6F:00:00:00 ;Locally administered MAC address
E7:58:D0:00:00:00 ;Group address (multicast MAC address)
4F:BA:0B:00:00:00 ;Group address (multicast MAC address)
77:8A:55:00:00:00 ;Group address (multicast MAC address)
4E:15:99:00:00:00 ;Locally administered MAC address
56:3D:30:00:00:00 ;Locally administered MAC address
7B:F5:1A:00:00:00 ;Group address (multicast MAC address)
57:0E:86:00:00:00 ;Group address (multicast MAC address)
52:A1:3E:00:00:00 ;Locally administered MAC address
31:41:74:00:00:00 ;Group address (multicast MAC address)
E8:2C:9D:00:00:00 ;
44:C7:3C:00:00:00 ;
D5:A2:14:00:00:00 ;Group address (multicast MAC address)
17:6C:89:00:00:00 ;Group address (multicast MAC address)
5C:4C:76:00:00:00 ;
46:89:A1:00:00:00 ;Locally administered MAC address
7D:C0:7C:00:00:00 ;Group address (multicast MAC address)
C1:36:D6:00:00:00 ;Group address (multicast MAC address)
D5:BB:A9:00:00:00 ;Group address (multicast MAC address)
D6:65:C6:00:00:00 ;Locally administered MAC address
57:AC:35:00:00:00 ;Group address (multicast MAC address)
F0:0D:7B:00:00:00 ;
78:12:49:00:00:00 ;
72:34:14:00:00:00 ;Locally administered MAC address
F5:0D:30:00:00:00 ;Group address (multicast MAC address)
E9:CC:50:00:00:00 ;Group address (multicast MAC address)
D4:50:C4:00:00:00 ;
49:2B:B9:00:00:00 ;Group address (multicast MAC address)
73:59:7D:00:00:00 ;Group address (multicast MAC address)
C1:0C:DE:00:00:00 ;Group address (multicast MAC address)
52:8F:50:00:00:00 ;Locally administered MAC address
71:3F:44:00:00:00 ;Group address (multicast MAC address)
52:3F:FD:00:00:00 ;Locally administered MAC address
FF:EE:6E:00:00:00 ;Group address (multicast MAC address)
6C:36:5C:00:00:00 ;
48:56:9A:00:00:00 ;
18:E3:7B:00:00:00 ;
C5:6A:31:00:00:00 ;Group address (multicast MAC address)
40:B1:AC:00:00:00;
D4:15:98:00:00:00 ;
4A:F9:D8:00:00:00 ;Locally administered MAC address
6B:19:41:00:00:00 ;Group address (multicast MAC address)
65:A5:AD:00:00:00 ;Group address (multicast MAC address)
16:91:F2:00:00:00 ;Locally administered MAC address
7B:E5:EF:00:00:00 ;Group address (multicast MAC address)
DF:AD:A1:00:00:00 ;Group address (multicast MAC address)
48:87:5C:00:00:00 ;
50:8C:DE:00:00:00 ;
D7:33:06:00:00:00 ;Group address (multicast MAC address)
FA:88:C6:00:00:00 ;Locally administered MAC address
DB:93:AA:00:00:00 ;Group address (multicast MAC address)
50:58:3D:00:00:00 ;
07:90:84:00:00:00 ;Group address (multicast MAC address)
5F:00:19:00:00:00 ;Group address (multicast MAC address)
4C:A7:DA:00:00:00 ;
4B:0F:3D:00:00:00 ;Group address (multicast MAC address)
62:2D:C9:00:00:00 ;Locally administered MAC address
43:CF:21:00:00:00 ;Group address (multicast MAC address)
6C:A2:2C:00:00:00 ;
DB:DD:D1:00:00:00 ;Group address (multicast MAC address)
69:55:53:00:00:00 ;Group address (multicast MAC address)
62:C6:FC:00:00:00 ;Locally administered MAC address
94:F6:D6:00:00:00 ;Apple, Inc. 
7E:AC:F5:00:00:00 ;Locally administered MAC address
6F:D9:09:00:00:00 ;Group address (multicast MAC address)
03:8B:67:00:00:00 ;Group address (multicast MAC address)
5F:D0:37:00:00:00 ;Group address (multicast MAC address)
65:D1:2E:00:00:00 ;Group address (multicast MAC address)
4B:90:22:00:00:00 ;Group address (multicast MAC address)
DB:CC:31:00:00:00 ;Group address (multicast MAC address)
F7:74:FE:00:00:00 ;Group address (multicast MAC address)
E0:C2:BE:00:00:00 ;
4E:9A:A2:00:00:00 ;Locally administered MAC address
42:AE:A9:00:00:00 ;Locally administered MAC address
38:DA:18:00:00:00 ;
4E:A9:CF:00:00:00 ;Locally administered MAC address
C2:E1:E4:00:00:00 ;Locally administered MAC address
77:3D:FC:00:00:00 ;Group address (multicast MAC address)
F9:AF:4D:00:00:00 ;Group address (multicast MAC address)
4C:57:AF:00:00:00 ;
E5:18:93:00:00:00 ;Group address (multicast MAC address)
3D:EC:C3:00:00:00 ;Group address (multicast MAC address)
59:F2:AE:00:00:00 ;Group address (multicast MAC address)
55:61:BD:00:00:00 ;Group address (multicast MAC address)
51:E1:7E:00:00:00 ;Group address (multicast MAC address)
DA:84:F8:00:00:00 ;Locally administered MAC address
60:CF:A4:00:00:00 ;
ED:D6:02:00:00:00 ;Group address (multicast MAC address)
71:9C:98:00:00:00 ;Group address (multicast MAC address)
7A:45:D8:00:00:00 ;Locally administered MAC address
71:A8:D5:00:00:00 ;Group address (multicast MAC address)
F9:DB:4D:00:00:00 ;Group address (multicast MAC address)
4A:62:98:00:00:00 ;Locally administered MAC address
51:EE:0F:00:00:00 ;Group address (multicast MAC address)
DF:87:45:00:00:00 ;Group address (multicast MAC address)
62:AC:7A:00:00:00 ;Locally administered MAC address
E1:A6:1B:00:00:00 ;Group address (multicast MAC address)
53:DC:FE:00:00:00 ;Group address (multicast MAC address)
42:5B:11:00:00:00 ;Locally administered MAC address
FD:4B:7A:00:00:00 ;Group address (multicast MAC address)
28:6F:40:00:00:00 ;Tonly Technology Co. Ltd 
5B:14:33:00:00:00 ;Group address (multicast MAC address)
79:DE:B5:00:00:00 ;Group address (multicast MAC address)
C9:58:B2:00:00:00 ;Group address (multicast MAC address)
70:F1:8D:00:00:00 ;
44:F5:6E:00:00:00 ;
4A:0E:08:00:00:00 ;Locally administered MAC address
60:14:67:00:00:00 ;
78:57:17:00:00:00 ;
5B:A0:50:00:00:00 ;Group address (multicast MAC address)
6F:78:04:00:00:00 ;Group address (multicast MAC address)
5F:C6:77:00:00:00 ;Group address (multicast MAC address)
3E:1E:43:00:00:00 ;Locally administered MAC address
56:A7:53:00:00:00 ;Locally administered MAC address
79:23:B9:00:00:00 ;Group address (multicast MAC address)
CF:E6:3A:00:00:00 ;Group address (multicast MAC address)
EC:E0:BD:00:00:00 ;
C9:4C:F7:00:00:00 ;Group address (multicast MAC address)
39:54:DB:00:00:00 ;Group address (multicast MAC address)
7A:A1:B9:00:00:00 ;Locally administered MAC address
ED:D3:AE:00:00:00 ;Group address (multicast MAC address)
51:C6:DB:00:00:00 ;Group address (multicast MAC address)
C7:67:47:00:00:00 ;Group address (multicast MAC address)
5A:45:C9:00:00:00 ;Locally administered MAC address
64:D9:02:00:00:00 ;
F2:5F:76:00:00:00 ;Locally administered MAC address
52:A6:7E:00:00:00 ;Locally administered MAC address
4B:6A:11:00:00:00 ;Group address (multicast MAC address)
7A:FC:85:00:00:00 ;Locally administered MAC address
43:A8:BA:00:00:00 ;Group address (multicast MAC address)
1F:C6:4B:00:00:00 ;Group address (multicast MAC address)
5A:85:D9:00:00:00 ;Locally administered MAC address
5B:43:4E:00:00:00 ;Group address (multicast MAC address)
00:50:2A:00:00:00 ;Cisco Systems, Inc 
72:7B:58:00:00:00 ;Locally administered MAC address
7E:0F:B7:00:00:00 ;Locally administered MAC address
EC:F0:31:00:00:00 ;
F3:57:E2:00:00:00 ;Group address (multicast MAC address)
79:11:F6:00:00:00;
DE:D0:3C:00:00:00 ;Locally administered MAC address
33:DD:44:00:00:00 ;Group address (multicast MAC address)
F1:9F:85:00:00:00 ;Group address (multicast MAC address)
4A:08:D2:00:00:00 ;Locally administered MAC address
F0:B8:40:00:00:00 ;
F9:A0:F9:00:00:00 ;Group address (multicast MAC address)
E0:FB:F7:00:00:00 ;
3B:17:A1:00:00:00 ;Group address (multicast MAC address)
E5:09:A0:00:00:00 ;Group address (multicast MAC address)
35:76:53:00:00:00 ;Group address (multicast MAC address)
E9:EE:2E:00:00:00 ;Group address (multicast MAC address)
D9:B5:1F:00:00:00 ;Group address (multicast MAC address)
78:25:D3:00:00:00 ;
60:11:4A:00:00:00 ;
CF:E2:98:00:00:00 ;Group address (multicast MAC address)
DA:74:D9:00:00:00 ;Locally administered MAC address
64:6E:9A:00:00:00 ;
79:08:49:00:00:00 ;Group address (multicast MAC address)
1C:85:F5:00:00:00 ;
0D:1A:D2:00:00:00 ;Group address (multicast MAC address)
C6:54:3D:00:00:00 ;Locally administered MAC address
60:3D:01:00:00:00 ;
51:2B:A5:00:00:00 ;Group address (multicast MAC address)
75:89:B3:00:00:00 ;Group address (multicast MAC address)
20:8B:0C:00:00:00 ;
EE:5C:24:00:00:00 ;Locally administered MAC address
7A:2C:D1:00:00:00 ;Locally administered MAC address
7C:DD:6C:00:00:00 ;
54:33:4A:00:00:00 ;
59:14:C2:00:00:00 ;Group address (multicast MAC address)
DE:C3:CC:00:00:00 ;Locally administered MAC address
F7:8E:C3:00:00:00 ;Group address (multicast MAC address)
75:9A:8E:00:00:00 ;Group address (multicast MAC address)
71:46:1A:00:00:00 ;Group address (multicast MAC address)
C1:D1:97:00:00:00 ;Group address (multicast MAC address)
4C:6E:28:00:00:00 ;
E3:0C:46:00:00:00 ;Group address (multicast MAC address)
68:1D:E8:00:00:00 ;
5C:C7:8B:00:00:00 ;
D8:37:F5:00:00:00 ;
CC:14:4B:00:00:00 ;
47:B5:85:00:00:00 ;Group address (multicast MAC address)
69:86:96:00:00:00 ;Group address (multicast MAC address)
EC:85:02:00:00:00 ;
61:3E:B3:00:00:00 ;Group address (multicast MAC address)
F7:70:F6:00:00:00 ;Group address (multicast MAC address)
FE:63:60:00:00:00 ;Locally administered MAC address
D3:3A:7E:00:00:00 ;Group address (multicast MAC address)
41:26:92:00:00:00 ;Group address (multicast MAC address)
EC:8C:BC:00:00:00 ;
CA:98:D2:00:00:00 ;Locally administered MAC address
72:86:94:00:00:00 ;Locally administered MAC address
6C:D8:B2:00:00:00 ;
C2:7D:8B:00:00:00 ;Locally administered MAC address
7E:A4:E0:00:00:00 ;Locally administered MAC address
5B:67:32:00:00:00 ;Group address (multicast MAC address)
4F:ED:B2:00:00:00 ;Group address (multicast MAC address)
DA:5E:1C:00:00:00 ;Locally administered MAC address
DC:A1:E9:00:00:00 ;
44:83:30:00:00:00 ;
E2:63:1D:00:00:00 ;Locally administered MAC address
C1:C6:F8:00:00:00 ;Group address (multicast MAC address)
57:F5:3E:00:00:00 ;Group address (multicast MAC address)
0A:6D:93:00:00:00 ;Locally administered MAC address
C7:9C:22:00:00:00 ;Group address (multicast MAC address)
D1:9A:56:00:00:00 ;Group address (multicast MAC address)
6B:19:0C:00:00:00 ;Group address (multicast MAC address)
73:2E:3F:00:00:00 ;Group address (multicast MAC address)
42:3A:F5:00:00:00 ;Locally administered MAC address
