Point;Latitude;Logitude;Altitude;Accuracy;Source;X;Y;LocationId;LocationName;ScanId;ScanName;MacAddress;InventoryName;SSID;Vendor;RSSI;SNR;Chan;Frequency;ChanWidth;802.11;Rates;WEP;WPA;WPA2;WPS;Type;PacketsCount;PacketsFail;LatencyMs;BitsPerSec;ConnectedAP;SSIDConnectedTo;;;;;;;;;
2;56.8540532258446;14.8325072228909;0;0;Map;60;378;1;Ground Floor;2;test scan2;E4:AA:5D:5F:4B:F0;;eduroam;Cisco Systems. Inc;-54;-1;11;2462;20;g, n;216.7,195,173.3,144.4,130,115.6,86.7,72.2,65,57.8,54,48,43.3,36,28.9,24,21.7,18,14.4,12,7.2;;;MGT-CCMP;;;Infrastructure;;;;;;;
2;56.8540532258446;14.8325072228909;0;0;Map;60;378;1;Ground Floor;2;test scan2;E4:AA:5D:5F:4B:F2;;LNU-Guest;Cisco Systems. Inc;-54;-1;11;2462;20;g, n;216.7,195,173.3,144.4,130,115.6,86.7,72.2,65,57.8,54,48,43.3,36,28.9,24,21.7,18,14.4,12,7.2;Open;;;;;Infrastructure;;;;;;;
2;56.8540532258446;14.8325072228909;0;0;Map;60;378;1;Ground Floor;2;test scan2;FC:5B:39:AE:52:60;;eduroam;Cisco Systems. Inc;-80;-1;6;2437;20;g, n;216.7,195,173.3,144.4,130,115.6,86.7,72.2,65,57.8,54,48,43.3,36,28.9,24,21.7,18,14.4,12,7.2;;;MGT-CCMP;;;Infrastructure;;;;;;;
2;56.8540532258446;14.8325072228909;0;0;Map;60;378;1;Ground Floor;2;test scan2;FC:5B:39:D6:9E:70;;eduroam;Cisco Systems. Inc;-85;-1;6;2437;20;g, n;216.7,195,173.3,144.4,130,115.6,86.7,72.2,65,57.8,54,48,43.3,36,28.9,24,21.7,18,14.4,12,7.2;;;MGT-CCMP;;;Infrastructure;;;;;;;
2;56.8540532258446;14.8325072228909;0;0;Map;60;378;1;Ground Floor;2;test scan2;FC:5B:39:D6:9E:72;;LNU-Guest;Cisco Systems. Inc;-80;-1;6;2437;20;g, n;216.7,195,173.3,144.4,130,115.6,86.7,72.2,65,57.8,54,48,43.3,36,28.9,24,21.7,18,14.4,12,7.2;Open;;;;;Infrastructure;;;;;;;
2;56.8540532258446;14.8325072228909;0;0;Map;60;378;1;Ground Floor;2;test scan2;78:BC:1A:97:E9:0D;;LNU-Guest;Cisco Systems. Inc;-71;-1;64;5320;20;a, n, ac;1300.05,780.3,390.15,216.7,195,173.3,144.4,130,115.6,86.7,72.2,65,57.8,54,48,43.3,36,28.9,24,21.7,18,14.4,12,7.2;Open;;;;;Infrastructure;;;;;;;
2;56.8540532258446;14.8325072228909;0;0;Map;60;378;1;Ground Floor;2;test scan2;78:BC:1A:97:E9:0F;;eduroam;Cisco Systems. Inc;-71;-1;64;5320;20;a, n, ac;1300.05,780.3,390.15,216.7,195,173.3,144.4,130,115.6,86.7,72.2,65,57.8,54,48,43.3,36,28.9,24,21.7,18,14.4,12,7.2;;;MGT-CCMP;;;Infrastructure;;;;;;;
2;56.8540532258446;14.8325072228909;0;0;Map;60;378;1;Ground Floor;2;test scan2;78:BC:1A:97:F0:AD;;LNU-Guest;Cisco Systems. Inc;-84;-1;116;5580;20;a, n, ac;1300.05,780.3,390.15,216.7,195,173.3,144.4,130,115.6,86.7,72.2,65,57.8,54,48,43.3,36,28.9,24,21.7,18,14.4,12,7.2;Open;;;;;Infrastructure;;;;;;;
2;56.8540532258446;14.8325072228909;0;0;Map;60;378;1;Ground Floor;2;test scan2;78:BC:1A:97:F0:AF;;eduroam;Cisco Systems. Inc;-85;-1;116;5580;20;a, n, ac;1300.05,780.3,390.15,216.7,195,173.3,144.4,130,115.6,86.7,72.2,65,57.8,54,48,43.3,36,28.9,24,21.7,18,14.4,12,7.2;;;MGT-CCMP;;;Infrastructure;;;;;;;
2;56.8540532258446;14.8325072228909;0;0;Map;60;378;1;Ground Floor;2;test scan2;78:BC:1A:A1:27:4D;;LNU-Guest;Cisco Systems. Inc;-61;-1;100;5500;20;a, n, ac;1300.05,780.3,390.15,216.7,195,173.3,144.4,130,115.6,86.7,72.2,65,57.8,54,48,43.3,36,28.9,24,21.7,18,14.4,12,7.2;Open;;;;;Infrastructure;;;;;;;
