first_time	last_time	devkey	phyname	devmac	strongest_signal	min_lat	min_lon	max_lat	max_lon	avg_lat	avg_lon	bytes_data	type
1696327312	1696327312	B603E01100000000_5C746CF73551	Bluetooth	51:35:F7:6C:74:5C	0	0.0	0.0	0.0	0.0	0.0	0.0	0	BTLE
1696327312	1696327312	B603E01100000000_4469CA037549	Bluetooth	49:75:03:CA:69:44	0	0.0	0.0	0.0	0.0	0.0	0.0	0	BTLE
1696327312	1696327334	B603E01100000000_54E37BFDE96A	Bluetooth	6A:E9:FD:7B:E3:54	0	0.0	0.0	0.0	0.0	0.0	0.0	0	BTLE
1696327312	1696327312	B603E01100000000_27F45BA9054C	Bluetooth	4C:05:A9:5B:F4:27	0	0.0	0.0	0.0	0.0	0.0	0.0	0	BTLE
1696327312	1696327312	B603E01100000000_92619C9A00CA	Bluetooth	CA:00:9A:9C:61:92	0	0.0	0.0	0.0	0.0	0.0	0.0	0	BTLE
1696327312	1696327312	B603E01100000000_678599F86DEE	Bluetooth	EE:6D:F8:99:85:67	0	0.0	0.0	0.0	0.0	0.0	0.0	0	BTLE
1696327313	1696327313	B603E01100000000_59852023B11B	Bluetooth	1B:B1:23:20:85:59	0	0.0	0.0	0.0	0.0	0.0	0.0	0	BTLE
1696327313	1696327333	B603E01100000000_85F1E588C274	Bluetooth	74:C2:88:E5:F1:85	0	0.0	0.0	0.0	0.0	0.0	0.0	0	BTLE
1696327313	1696327323	B603E01100000000_F1CAFC4E26A	Bluetooth	6A:E2:C4:AF:1C:0F	0	0.0	0.0	0.0	0.0	0.0	0.0	0	BTLE
1696327313	1696327313	B603E01100000000_1C8024CD817C	Bluetooth	7C:81:CD:24:80:1C	0	0.0	0.0	0.0	0.0	0.0	0.0	0	BTLE
1696327313	1696327313	B603E01100000000_9A3096BE09F4	Bluetooth	F4:09:BE:96:30:9A	0	0.0	0.0	0.0	0.0	0.0	0.0	0	BTLE
1696327313	1696327313	B603E01100000000_6A8F48857A4E	Bluetooth	4E:7A:85:48:8F:6A	0	0.0	0.0	0.0	0.0	0.0	0.0	0	BTLE
1696327314	1696327325	B603E01100000000_E6390D054C7A	Bluetooth	7A:4C:05:0D:39:E6	0	0.0	0.0	0.0	0.0	0.0	0.0	0	BTLE
1696327313	1696327318	4202770D00000000_3FB5505DAAE4	IEEE802.11	E4:AA:5D:50:B5:3F	-73	344.0	519.0	344.0	519.0	344.0	519.0	0	Wi-Fi AP
1696327313	1696327313	4202770D00000000_51EFCBAC6146	IEEE802.11	46:61:AC:CB:EF:51	-82	0.0	0.0	0.0	0.0	0.0	0.0	30	Wi-Fi Client
1696327314	1696327314	4202770D00000000_147137829114	IEEE802.11	14:91:82:37:71:14	-70	0.0	0.0	0.0	0.0	0.0	0.0	0	Wi-Fi AP
1696327314	1696327314	4202770D00000000_10405F5DAAE4	IEEE802.11	E4:AA:5D:5F:40:10	-71	0.0	0.0	0.0	0.0	0.0	0.0	0	Wi-Fi AP
1696327314	1696327314	4202770D00000000_B634CDF3F462	IEEE802.11	62:F4:F3:CD:34:B6	0	0.0	0.0	0.0	0.0	0.0	0.0	0	Wi-Fi Client
1696327313	1696327318	4202770D00000000_3DB5505DAAE4	IEEE802.11	E4:AA:5D:50:B5:3D	-73	344.0	519.0	344.0	519.0	-16.000000000000036	158.99999999999994	0	Wi-Fi AP
1696327314	1696327314	4202770D00000000_12405F5DAAE4	IEEE802.11	E4:AA:5D:5F:40:12	-71	0.0	0.0	0.0	0.0	0.0	0.0	0	Wi-Fi AP
1696327313	1696327328	4202770D00000000_F4C46A7F1C00	IEEE802.11	00:1C:7F:6A:C4:F4	0	0.0	0.0	0.0	0.0	0.0	0.0	6553	Wi-Fi Bridged
1696327313	1696327313	4202770D00000000_CAB15B6197A6	IEEE802.11	A6:97:61:5B:B1:CA	0	0.0	0.0	0.0	0.0	0.0	0.0	205	Wi-Fi Device
1696327314	1696327318	B603E01100000000_D01195EA53D0	Bluetooth	D0:53:EA:95:11:D0	0	0.0	0.0	0.0	0.0	0.0	0.0	0	BTLE
1696327314	1696327315	B603E01100000000_A76E6CE7F504	Bluetooth	04:F5:E7:6C:6E:A7	0	0.0	0.0	0.0	0.0	0.0	0.0	0	BTLE
1696327315	1696327319	B603E01100000000_8662C8D31108	Bluetooth	08:11:D3:C8:62:86	0	0.0	0.0	0.0	0.0	0.0	0.0	0	BTLE
1696327314	1696327319	4202770D00000000_E22AD13B3634	IEEE802.11	34:36:3B:D1:2A:E2	-34	344.0	519.0	344.0	519.0	344.0	519.0	0	Wi-Fi Client
1696327315	1696327315	4202770D00000000_93278C8DCE9A	IEEE802.11	9A:CE:8D:8C:27:93	-70	0.0	0.0	0.0	0.0	0.0	0.0	0	Wi-Fi Client
1696327315	1696327315	4202770D00000000_91B00C091FAC	IEEE802.11	AC:1F:09:0C:B0:91	-77	0.0	0.0	0.0	0.0	0.0	0.0	0	Wi-Fi AP
1696327315	1696327315	4202770D00000000_ACFCB8875E3A	IEEE802.11	3A:5E:87:B8:FC:AC	-74	0.0	0.0	0.0	0.0	0.0	0.0	0	Wi-Fi Client
1696327316	1696327316	B603E01100000000_29182CA2BE4E	Bluetooth	4E:BE:A2:2C:18:29	0	0.0	0.0	0.0	0.0	0.0	0.0	0	BTLE
1696327316	1696327316	B603E01100000000_4DFF94DE5CCB	Bluetooth	CB:5C:DE:94:FF:4D	0	0.0	0.0	0.0	0.0	0.0	0.0	0	BTLE
1696327316	1696327316	B603E01100000000_15FDB6CEA05A	Bluetooth	5A:A0:CE:B6:FD:15	0	0.0	0.0	0.0	0.0	0.0	0.0	0	BTLE
1696327316	1696327327	B603E01100000000_DBA7D9D17046	Bluetooth	46:70:D1:D9:A7:DB	0	0.0	0.0	0.0	0.0	0.0	0.0	0	BTLE
1696327317	1696327317	B603E01100000000_7809251811C6	Bluetooth	C6:11:18:25:09:78	0	0.0	0.0	0.0	0.0	0.0	0.0	0	BTLE
1696327317	1696327323	4202770D00000000_7394FF002500	IEEE802.11	00:25:00:FF:94:73	0	0.0	0.0	0.0	0.0	0.0	0.0	0	Wi-Fi AP
1696327317	1696327323	4202770D00000000_76363DA9AA52	IEEE802.11	52:AA:A9:3D:36:76	0	0.0	0.0	0.0	0.0	0.0	0.0	0	Wi-Fi Client
1696327317	1696327317	4202770D00000000_1F405F5DAAE4	IEEE802.11	E4:AA:5D:5F:40:1F	-73	344.0	519.0	344.0	519.0	-16.000000000000036	158.99999999999994	0	Wi-Fi AP
1696327317	1696327317	4202770D00000000_1D405F5DAAE4	IEEE802.11	E4:AA:5D:5F:40:1D	-74	344.0	519.0	344.0	519.0	-16.000000000000036	158.99999999999994	0	Wi-Fi AP
1696327317	1696327317	4202770D00000000_93C908A2ACE2	IEEE802.11	E2:AC:A2:08:C9:93	-77	344.0	519.0	344.0	519.0	-16.00000000000004	158.99999999999994	0	Wi-Fi Client
1696327317	1696327317	4202770D00000000_C11003DA1E82	IEEE802.11	82:1E:DA:03:10:C1	-54	344.0	519.0	344.0	519.0	344.0	519.0	0	Wi-Fi Client
1696327318	1696327318	4202770D00000000_FE9971ABC78	IEEE802.11	78:BC:1A:97:E9:0F	-85	344.0	519.0	344.0	519.0	-16.000000000000036	158.99999999999994	0	Wi-Fi AP
1696327318	1696327318	4202770D00000000_DE9971ABC78	IEEE802.11	78:BC:1A:97:E9:0D	-85	344.0	519.0	344.0	519.0	-16.000000000000036	158.99999999999994	0	Wi-Fi AP
1696327319	1696327334	B603E01100000000_98FBF9488342	Bluetooth	42:83:48:F9:FB:98	0	0.0	0.0	0.0	0.0	0.0	0.0	0	BTLE
1696327319	1696327319	B603E01100000000_F5D19A290F3E	Bluetooth	3E:0F:29:9A:D1:F5	0	0.0	0.0	0.0	0.0	0.0	0.0	0	BTLE
1696327319	1696327328	4202770D00000000_CF28A11ABC78	IEEE802.11	78:BC:1A:A1:28:CF	-79	344.0	519.0	344.0	519.0	-16.000000000000036	158.99999999999994	1286	Wi-Fi AP
1696327319	1696327319	4202770D00000000_93A4A57B5F86	IEEE802.11	86:5F:7B:A5:A4:93	0	0.0	0.0	0.0	0.0	0.0	0.0	0	Wi-Fi Client
1696327319	1696327328	4202770D00000000_CD28A11ABC78	IEEE802.11	78:BC:1A:A1:28:CD	-79	344.0	519.0	344.0	519.0	-16.00000000000004	158.99999999999994	0	Wi-Fi AP
1696327319	1696327319	4202770D00000000_ADF0971ABC78	IEEE802.11	78:BC:1A:97:F0:AD	-75	344.0	519.0	344.0	519.0	344.0	519.0	0	Wi-Fi AP
1696327319	1696327319	4202770D00000000_CE6792F82800	IEEE802.11	00:28:F8:92:67:CE	0	0.0	0.0	0.0	0.0	0.0	0.0	0	Wi-Fi Client
1696327319	1696327319	4202770D00000000_AFF0971ABC78	IEEE802.11	78:BC:1A:97:F0:AF	-77	344.0	519.0	344.0	519.0	344.0	519.0	0	Wi-Fi AP
1696327321	1696327321	B603E01100000000_8F4C28982F6F	Bluetooth	6F:2F:98:28:4C:8F	0	0.0	0.0	0.0	0.0	0.0	0.0	0	BTLE
1696327323	1696327324	4202770D00000000_32B5505DAAE4	IEEE802.11	E4:AA:5D:50:B5:32	-56	344.0	519.0	344.0	519.0	-16.000000000000036	158.99999999999994	0	Wi-Fi AP
1696327323	1696327324	4202770D00000000_C856D4FA8D56	IEEE802.11	56:8D:FA:D4:56:C8	-62	344.0	519.0	344.0	519.0	344.0	519.0	0	Wi-Fi Client
1696327324	1696327331	B603E01100000000_18F485A17265	Bluetooth	65:72:A1:85:F4:18	0	0.0	0.0	0.0	0.0	0.0	0.0	0	BTLE
1696327324	1696327337	B603E01100000000_9A37A84AEB62	Bluetooth	62:EB:4A:A8:37:9A	0	0.0	0.0	0.0	0.0	0.0	0.0	0	BTLE
1696327324	1696327326	B603E01100000000_B4F1648BF240	Bluetooth	40:F2:8B:64:F1:B4	0	0.0	0.0	0.0	0.0	0.0	0.0	0	BTLE
1696327323	1696327323	4202770D00000000_30B5505DAAE4	IEEE802.11	E4:AA:5D:50:B5:30	-66	344.0	519.0	344.0	519.0	344.0	519.0	0	Wi-Fi AP
1696327323	1696327323	4202770D00000000_2C0A10438E	IEEE802.11	8E:43:10:0A:2C:00	0	0.0	0.0	0.0	0.0	0.0	0.0	0	Wi-Fi Client
1696327324	1696327324	4202770D00000000_4027A11ABC78	IEEE802.11	78:BC:1A:A1:27:40	-63	344.0	519.0	344.0	519.0	344.0	519.0	0	Wi-Fi AP
1696327324	1696327324	4202770D00000000_4227A11ABC78	IEEE802.11	78:BC:1A:A1:27:42	-62	344.0	519.0	344.0	519.0	-16.00000000000004	158.99999999999994	0	Wi-Fi AP
1696327324	1696327324	4202770D00000000_FB1D6411F03C	IEEE802.11	3C:F0:11:64:1D:FB	0	0.0	0.0	0.0	0.0	0.0	0.0	0	Wi-Fi Client
1696327324	1696327324	4202770D00000000_F04B5F5DAAE4	IEEE802.11	E4:AA:5D:5F:4B:F0	-34	344.0	519.0	344.0	519.0	344.0	519.0	0	Wi-Fi AP
1696327324	1696327324	4202770D00000000_BB6AD038CE5A	IEEE802.11	5A:CE:38:D0:6A:BB	-72	344.0	519.0	344.0	519.0	344.0	519.0	0	Wi-Fi Client
